x,f(x)
0.000000,0.000000
0.100000,1.355750
0.200000,2.651556
0.300000,3.888583
0.400000,5.068000
0.500000,6.190972
0.600000,7.258667
0.700000,8.272250
0.800000,9.232889
0.900000,10.141750
1.000000,11.000000
1.100000,11.808806
1.200000,12.569333
1.300000,13.282750
1.400000,13.950222
1.500000,14.572917
1.600000,15.152000
1.700000,15.688639
1.800000,16.184000
1.900000,16.639250
2.000000,17.055556
2.100000,17.434083
2.200000,17.776000
2.300000,18.082472
2.400000,18.354667
2.500000,18.593750
2.600000,18.800889
2.700000,18.977250
2.800000,19.124000
2.900000,19.242306
3.000000,19.333333
3.100000,19.398250
3.200000,19.438222
3.300000,19.454417
3.400000,19.448000
3.500000,19.420139
3.600000,19.372000
3.700000,19.304750
3.800000,19.219556
3.900000,19.117583
4.000000,19.000000
4.100000,18.867972
4.200000,18.722667
4.300000,18.565250
4.400000,18.396889
4.500000,18.218750
4.600000,18.032000
4.700000,17.837806
4.800000,17.637333
4.900000,17.431750
5.000000,17.222222
5.100000,17.009917
5.200000,16.796000
5.300000,16.581639
5.400000,16.368000
5.500000,16.156250
5.600000,15.947556
5.700000,15.743083
5.800000,15.544000
5.900000,15.351472
6.000000,15.166667
6.100000,14.990750
6.200000,14.824889
6.300000,14.670250
6.400000,14.528000
6.500000,14.399306
6.600000,14.285333
6.700000,14.187250
6.800000,14.106222
6.900000,14.043417
7.000000,14.000000
7.100000,13.977139
7.200000,13.976000
7.300000,13.997750
7.400000,14.043556
7.500000,14.114583
7.600000,14.212000
7.700000,14.336972
7.800000,14.490667
7.900000,14.674250
8.000000,14.888889
8.100000,15.135750
8.200000,15.416000
8.300000,15.730806
8.400000,16.081333
8.500000,16.468750
8.600000,16.894222
8.700000,17.358917
8.800000,17.864000
8.900000,18.410639
9.000000,19.000000
