M,theta,beta_lower,beta_upper
2.000000,1,30.811369,89.399733
2.000000,2,31.646231,88.797814
2.000000,3,32.505480,88.192578
2.000000,4,33.390176,87.582289
2.000000,5,34.301514,86.965121
2.000000,6,35.240855,86.339117
2.000000,7,36.209765,85.702139
2.000000,8,37.210070,85.051822
2.000000,9,38.243916,84.385494
2.000000,10,39.313862,83.700090
2.000000,11,40.423001,82.992026
2.000000,12,41.575123,82.257034
2.000000,13,42.774949,81.489922
2.000000,14,44.028484,80.684232
2.000000,15,45.343537,79.831704
2.000000,16,46.730559,78.921452
2.000000,17,48.204040,77.938550
2.000000,18,49.785041,76.861518
2.000000,19,51.506174,75.657331
3.000000,1,20.157516,89.649904
3.000000,2,20.866693,89.299287
3.000000,3,21.598919,88.947610
3.000000,4,22.354372,88.594330
3.000000,5,23.133206,88.238892
3.000000,6,23.935558,87.880722
3.000000,7,24.761548,87.519220
3.000000,8,25.611300,87.153758
3.000000,9,26.484945,86.783669
3.000000,10,27.382635,86.408242
3.000000,11,28.304554,86.026711
3.000000,12,29.250938,85.638245
3.000000,13,30.222088,85.241936
3.000000,14,31.218390,84.836784
3.000000,15,32.240340,84.421676
3.000000,16,33.288567,83.995366
3.000000,17,34.363867,83.556446
3.000000,18,35.467243,83.103308
3.000000,19,36.599952,82.634101
3.000000,20,37.763571,82.146667
3.000000,21,38.960071,81.638464
3.000000,22,40.191937,81.106455
3.000000,23,41.462314,80.546962
3.000000,24,42.775221,79.955449
3.000000,25,44.135861,79.326212
3.000000,26,45.551100,78.651909
3.000000,27,47.030207,77.922810
3.000000,28,48.586106,77.125549
3.000000,29,50.237605,76.240900
4.000000,1,15.131222,89.719929
4.000000,2,15.812535,89.439516
4.000000,3,16.521405,89.158395
4.000000,4,17.257715,88.876203
4.000000,5,18.021243,88.592574
4.000000,6,18.811681,88.307130
4.000000,7,19.628643,88.019480
4.000000,8,20.471688,87.729217
4.000000,9,21.340338,87.435918
4.000000,10,22.234092,87.139133
4.000000,11,23.152447,86.838389
4.000000,12,24.094921,86.533178
4.000000,13,25.061062,86.222958
4.000000,14,26.050472,85.907140
4.000000,15,27.062819,85.585089
4.000000,16,28.097856,85.256105
4.000000,17,29.155435,84.919423
4.000000,18,30.235529,84.574192
4.000000,19,31.338242,84.219465
4.000000,20,32.463837,83.854179
4.000000,21,33.612758,83.477129
4.000000,22,34.785658,83.086942
4.000000,23,35.983443,82.682038
4.000000,24,37.207308,82.260583
4.000000,25,38.458808,81.820423
4.000000,26,39.739942,81.359001
4.000000,27,41.053258,80.873243
4.000000,28,42.402023,80.359394
4.000000,29,43.790445,79.812789
4.000000,30,45.224013,79.227509
4.000000,31,46.710024,78.595863
4.000000,32,48.258416,77.907538
4.000000,33,49.883205,77.148174
4.000000,34,51.605110,76.296729
4.000000,35,53.456858,75.320173
4.000000,36,55.495581,74.161096
4.000000,37,57.838881,72.701631
4.000000,38,60.827037,70.601259
6.000000,1,10.230702,89.765655
6.000000,2,10.906306,89.531063
6.000000,3,11.620328,89.295944
6.000000,4,12.371872,89.060032
