x,f(x)
0.000000,0.000000
0.100000,1.204269
0.200000,2.402218
0.300000,3.587529
0.400000,4.753882
0.500000,5.894958
0.600000,7.004437
0.700000,8.076000
0.800000,9.103328
0.900000,10.080101
1.000000,11.000000
1.100000,11.858120
1.200000,12.655216
1.300000,13.393454
1.400000,14.075003
1.500000,14.702031
1.600000,15.276706
1.700000,15.801196
1.800000,16.277669
1.900000,16.708294
2.000000,17.095238
2.100000,17.440669
2.200000,17.746756
2.300000,18.015667
2.400000,18.249569
2.500000,18.450630
2.600000,18.621020
2.700000,18.762905
2.800000,18.878454
2.900000,18.969835
3.000000,19.039216
3.100000,19.088765
3.200000,19.120650
3.300000,19.137039
3.400000,19.140101
3.500000,19.132003
3.600000,19.114913
3.700000,19.091000
3.800000,19.062431
3.900000,19.031375
4.000000,19.000000
4.100000,18.970106
4.200000,18.942024
4.300000,18.915716
4.400000,18.891146
4.500000,18.868277
4.600000,18.847072
4.700000,18.827494
4.800000,18.809506
4.900000,18.793071
5.000000,18.778151
5.100000,18.764711
5.200000,18.752713
5.300000,18.742119
5.400000,18.732894
5.500000,18.725000
5.600000,18.718400
5.700000,18.713057
5.800000,18.708934
5.900000,18.705995
6.000000,18.704202
6.100000,18.703518
6.200000,18.703906
6.300000,18.705329
6.400000,18.707751
6.500000,18.711134
6.600000,18.715442
6.700000,18.720637
6.800000,18.726682
6.900000,18.733541
7.000000,18.741176
7.100000,18.749551
7.200000,18.758629
7.300000,18.768371
7.400000,18.778743
7.500000,18.789706
7.600000,18.801224
7.700000,18.813259
7.800000,18.825775
7.900000,18.838734
8.000000,18.852101
8.100000,18.865837
8.200000,18.879906
8.300000,18.894271
8.400000,18.908894
8.500000,18.923739
8.600000,18.938770
8.700000,18.953948
8.800000,18.969237
8.900000,18.984600
9.000000,19.000000
